Date,Open,High,Low,Close,Volume
17-02-20,1536.4800000,1546.8700000,1536.4800000,1543.2500000,570474014
18-02-20,1540.9500000,1540.9500000,1510.8200000,1515.5400000,899549772
19-02-20,1525.4500000,1544.6200000,1525.4500000,1542.0800000,872818158
20-02-20,1546.3500000,1552.0400000,1535.8100000,1535.8100000,881006050
21-02-20,1525.6900000,1531.6200000,1515.4500000,1524.7100000,747024629
25-02-20,1501.6100000,1506.4200000,1445.7600000,1446.1100000,1335487928
26-02-20,1442.8700000,1464.3400000,1419.2600000,1461.2200000,1652352798
27-02-20,1438.2800000,1444.0500000,1381.0200000,1386.2000000,1557132902
28-02-20,1358.4900000,1362.1500000,1279.7400000,1299.6900000,2757223548
02-03-20,1340.2100000,1368.6300000,1275.1700000,1303.4700000,2174082395
03-03-20,1336.1000000,1360.2800000,1320.5100000,1358.0300000,1637522057
04-03-20,1335.3500000,1364.5500000,1326.9000000,1348.1900000,1254607605
05-03-20,1357.6900000,1363.7300000,1319.1500000,1323.8200000,1208837902
06-03-20,1289.5200000,1300.6100000,1238.5300000,1257.9600000,2060105462
10-03-20,1149.8100000,1182.0800000,1055.3100000,1094.1800000,3497249469
11-03-20,1119.7100000,1130.6200000,1076.5400000,1086.1800000,1961655777
12-03-20,1042.2000000,1042.2000000,953.6400000,966.4000000,2344148794
13-03-20,958.2900000,1055.4900000,957.1900000,991.6900000,2537016694
16-03-20,995.2400000,998.3300000,910.6600000,966.9300000,1918833576
17-03-20,955.1200000,985.2400000,909.9200000,934.6600000,1799016728
18-03-20,915.7100000,915.7100000,827.5200000,832.2600000,1628845403
19-03-20,833.3800000,908.7500000,809.0000000,902.6300000,2064988884
20-03-20,926.1900000,980.2100000,913.6900000,924.2200000,2339655517
23-03-20,887.9900000,916.9200000,860.7400000,883.7800000,1624572940
24-03-20,929.8900000,978.2300000,929.8900000,965.3200000,1611438123
25-03-20,991.9400000,1027.6200000,943.0200000,981.6900000,2194346307
26-03-20,984.3500000,1022.0200000,959.3100000,1017.0300000,1431747852
27-03-20,1014.1000000,1015.8900000,945.2800000,955.3400000,1210438538
30-03-20,950.2000000,962.6000000,926.8000000,958.5400000,1053444174
31-03-20,980.0000000,1014.5100000,979.9600000,1014.4400000,1471192617
01-04-20,988.7100000,995.1800000,977.4800000,987.7500000,1024017480
02-04-20,1013.2900000,1038.2000000,983.6300000,1034.0600000,1741346757
03-04-20,1038.9200000,1070.4200000,1030.6400000,1049.8800000,1537801497
06-04-20,1069.6600000,1090.8100000,1059.3100000,1083.4300000,1181911889
07-04-20,1097.8200000,1122.8800000,1087.0800000,1099.7600000,1611027298
08-04-20,1091.5300000,1114.6000000,1083.5000000,1114.6000000,1114263617
09-04-20,1130.1400000,1170.2700000,1119.8200000,1155.4900000,1604508429
10-04-20,1132.4900000,1148.6000000,1127.8400000,1142.0700000,500616585
13-04-20,1142.9000000,1148.5800000,1118.8700000,1124.9700000,652033761
14-04-20,1135.5700000,1151.6500000,1127.1900000,1133.2300000,1129266299
15-04-20,1129.4900000,1129.4900000,1045.1300000,1046.8800000,1336738581
16-04-20,1057.1300000,1087.8000000,1036.9500000,1066.9100000,1438196982
17-04-20,1084.3500000,1092.5400000,1068.9300000,1078.6900000,955723880
20-04-20,1075.2200000,1079.7500000,1055.7100000,1068.3200000,911197998
